county_fips,County,population,num_uninsured,num_insured,pct_uninsured,pct_uninsured_moe,year
00015,Del Norte,4142,717,3424,17.3,2.9,2008
00015,Del Norte,1708,431,1276,25.3,5.0,2008
00015,Del Norte,3776,1037,2739,27.5,4.7,2008
00015,Del Norte,1140,294,847,25.7,5.8,2008
00015,Del Norte,2882,637,2245,22.1,3.8,2008
00015,Del Norte,6239,716,5523,11.5,2.3,2008
00015,Del Norte,3561,415,3146,11.6,2.9,2008
00015,Del Norte,4139,501,3638,12.1,2.8,2008
00015,Del Norte,2619,274,2345,10.4,3.0,2008
00015,Del Norte,5284,639,4645,12.1,2.5,2008
00015,Del Norte,900,228,672,25.3,5.5,2008
00015,Del Norte,5497,1633,3864,29.7,3.7,2008
00015,Del Norte,3062,773,2289,25.3,3.5,2008
00015,Del Norte,7945,1694,6252,21.3,3.0,2008
00015,Del Norte,2123,688,1435,32.4,5.6,2008
00015,Del Norte,21392,4232,17161,19.8,1.7,2008
00015,Del Norte,10239,2414,7825,23.6,2.5,2008
00015,Del Norte,12174,2872,9302,23.6,2.3,2008
00015,Del Norte,7259,1667,5592,23.0,2.8,2008
00015,Del Norte,16465,3703,12762,22.5,1.9,2008
00015,Del Norte,10585,2224,8361,21.0,2.4,2008
00015,Del Norte,5798,1446,4351,24.9,3.2,2008
00015,Del Norte,3363,808,2556,24.0,3.9,2008
00015,Del Norte,8016,1914,6102,23.9,2.7,2008
00015,Del Norte,10807,2008,8799,18.6,2.3,2008
00015,Del Norte,4821,1198,3623,24.8,3.5,2008
00015,Del Norte,6376,1426,4950,22.4,3.2,2008
00015,Del Norte,5418,1217,4201,22.5,3.5,2008
00015,Del Norte,3120,1014,2106,32.5,4.9,2008
00015,Del Norte,7611,1908,5704,25.1,3.1,2008
00015,Del Norte,11514,3141,8373,27.3,2.6,2008
00015,Del Norte,4806,1428,3378,29.7,4.0,2008
00015,Del Norte,3822,1225,2597,32.1,4.5,2008
00015,Del Norte,6896,2051,4845,29.7,3.4,2008
00015,Del Norte,15557,3601,11956,23.1,2.2,2008
00015,Del Norte,8449,1789,6660,21.2,2.7,2008
00015,Del Norte,3896,859,3037,22.0,4.0,2008
00015,Del Norte,8288,2434,5854,29.4,3.1,2008
00017,El Dorado,32119,3730,28389,11.6,1.8,2008
00017,El Dorado,12590,4460,8130,35.4,5.2,2008
00017,El Dorado,16264,5423,10841,33.3,4.6,2008
00017,El Dorado,8037,2940,5097,36.6,6.1,2008
00017,El Dorado,28246,7175,21070,25.4,3.2,2008
00017,El Dorado,65706,7360,58346,11.2,1.2,2008
00017,El Dorado,9327,3165,6162,33.9,4.0,2008
00017,El Dorado,12657,3991,8666,31.5,3.5,2008
00017,El Dorado,5534,1964,3569,35.5,4.8,2008
00017,El Dorado,25119,5654,19464,22.5,2.3,2008
00017,El Dorado,4196,1532,2664,36.5,5.9,2008
00017,El Dorado,59121,8813,50309,14.9,1.9,2008
00017,El Dorado,2452,942,1510,38.4,7.1,2008
00017,El Dorado,11925,2822,9103,23.7,3.4,2008
00017,El Dorado,33587,3630,29956,10.8,1.7,2008
00017,El Dorado,5131,1634,3498,31.8,5.3,2008
00017,El Dorado,6875,2038,4837,29.6,4.6,2008
00017,El Dorado,3082,1022,2059,33.2,6.3,2008
00017,El Dorado,13194,2833,10361,21.5,3.2,2008
00017,El Dorado,40154,2757,37397,6.9,1.4,2008
00017,El Dorado,10188,1481,8706,14.5,3.4,2008
00017,El Dorado,13406,1821,11585,13.6,3.0,2008
00017,El Dorado,6245,960,5285,15.4,4.0,2008
00017,El Dorado,5782,1953,3829,33.8,5.1,2008
00017,El Dorado,22900,2378,20522,10.4,2.1,2008
00017,El Dorado,25982,8212,17770,31.6,3.6,2008
00017,El Dorado,13551,5614,7938,41.4,4.9,2008
00017,El Dorado,155464,22207,133257,14.3,1.2,2008
00017,El Dorado,32325,10261,22064,31.7,2.9,2008
00017,El Dorado,42474,12701,29773,29.9,2.5,2008
00017,El Dorado,19952,6554,13399,32.8,3.5,2008
00017,El Dorado,75767,17534,58233,23.1,1.8,2008
00017,El Dorado,77997,12045,65952,15.4,1.8,2008
00017,El Dorado,15015,5068,9946,33.8,4.1,2008
00017,El Dorado,20017,6382,13635,31.9,3.6,2008
00017,El Dorado,9024,3135,5889,34.7,4.9,2008
00017,El Dorado,36942,9187,27755,24.9,2.6,2008
00017,El Dorado,77468,10162,67306,13.1,1.5,2008
00017,El Dorado,6044,2730,3315,45.2,6.5,2008
00017,El Dorado,22457,6319,16138,28.1,3.5,2008
00017,El Dorado,10928,3419,7509,31.3,4.8,2008
00017,El Dorado,38824,8347,30478,21.5,2.5,2008
00017,El Dorado,117843,19732,98110,16.7,1.5,2008
00017,El Dorado,22700,8899,13801,39.2,3.8,2008
00017,El Dorado,29815,11037,18779,37.0,3.4,2008
00017,El Dorado,14081,5670,8412,40.3,4.5,2008
00017,El Dorado,54228,15388,38840,28.4,2.4,2008
00017,El Dorado,58721,10919,47802,18.6,2.3,2008
00017,El Dorado,10110,4439,5671,43.9,5.5,2008
00017,El Dorado,17310,5193,12118,30.0,4.0,2008
00019,Fresno,152844,43623,109222,28.5,2.0,2008
00019,Fresno,56828,20516,36312,36.1,3.2,2008
00019,Fresno,106441,35223,71218,33.1,2.5,2008
00019,Fresno,85810,29884,55926,34.8,2.8,2008
00019,Fresno,118200,38565,79635,32.6,2.9,2008
00019,Fresno,190268,52736,137532,27.7,2.2,2008
00019,Fresno,83001,27554,55447,33.2,3.4,2008
00019,Fresno,141329,44304,97025,31.3,2.7,2008
00019,Fresno,121504,28164,93339,23.2,2.1,2008
00019,Fresno,246339,49997,196342,20.3,1.4,2008
00019,Fresno,42618,16550,26068,38.8,4.0,2008
00019,Fresno,53657,15683,37975,29.2,3.4,2008
00019,Fresno,28214,11376,16839,40.3,4.7,2008
00019,Fresno,75470,24363,51107,32.3,2.9,2008
00019,Fresno,124835,21832,103003,17.5,1.8,2008
00019,Fresno,43192,13334,29858,30.9,3.8,2008
00019,Fresno,28614,9140,19474,31.9,4.4,2008
00019,Fresno,77374,19260,58115,24.9,2.6,2008
00019,Fresno,279556,25622,253934,9.2,1.4,2008
00019,Fresno,168555,18537,150019,11.0,2.0,2008
00019,Fresno,192774,20955,171819,10.9,1.8,2008
00019,Fresno,266723,58463,208260,21.9,1.7,2008
00019,Fresno,235511,24134,211377,10.2,1.6,2008
00019,Fresno,52784,19540,33244,37.0,3.6,2008
00019,Fresno,124626,13113,111513,10.5,2.1,2008
00019,Fresno,190332,74632,115700,39.2,2.3,2008
